"Firstseen (UTC)";"Threat";"Malware";"Host";"URL";"Status";"Registrar";"IP address(es)";"ASN(s)";"Country"
"2017-03-28 02:59:46";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1cdqfv.top";"http://hjhqmbxyinislkkt.1cdqfv.top";"offline";"Eranet International Limited";"";"";""
"2017-03-27 14:19:02";"Distribution Site";"TorrentLocker";"generalsn.pl";"http://generalsn.pl/file/hit.njk";"offline";"InternetX GmbH";"";"";""
"2017-03-27 14:16:39";"Distribution Site";"TorrentLocker";"dinamoon.pl";"http://dinamoon.pl/file/hit.njk";"offline";"InternetX GmbH";"";"";""
"2017-03-27 14:13:43";"Distribution Site";"TorrentLocker";"horestn.pl";"http://horestn.pl/file/pos.cvb";"offline";"InternetX GmbH";"";"";""
"2017-03-27 14:12:57";"Distribution Site";"TorrentLocker";"fatflat.tw";"http://fatflat.tw/file/hit.njk ";"offline";"PSI-USA; Inc.";"";"";""
"2017-03-25 22:51:42";"Payment Site";"Cerber";"hjhqmbxyinislkkt.13eymq.top";"http://hjhqmbxyinislkkt.13eymq.top";"offline";"Eranet International Limited";"";"";""
"2017-03-25 20:44:11";"Distribution Site";"Cerber";"www.chromefastl.top";"http://www.chromefastl.top/user.php?f=2.gif";"offline";"Eranet International Limited";"";"";""
"2017-03-25 20:43:29";"Distribution Site";"Cerber";"www.chromebewfk.top";"http://www.chromebewfk.top/user.php?f=2.gif";"offline";"Eranet International Limited";"";"";""
"2017-03-25 08:20:00";"Distribution Site";"Cerber";"chromebewfk.top";"http://chromebewfk.top/site/download.php";"offline";"Eranet International Limited";"";"";""
"2017-03-24 08:45:56";"Distribution Site";"TorrentLocker";"icefruits.pl";"http://icefruits.pl/file/cet.hjn";"offline";"InternetX GmbH";"";"";""
"2017-03-24 08:45:52";"Distribution Site";"TorrentLocker";"festset.pl";"http://festset.pl/file/cet.hjn";"offline";"EPAG Domainservices GmbH";"";"";""
"2017-03-24 08:45:29";"Distribution Site";"TorrentLocker";"fastpool.pl";"http://fastpool.pl/file/cet.hjn";"offline";"EPAG Domainservices GmbH";"";"";""
"2017-03-24 08:45:08";"Distribution Site";"TorrentLocker";"wrongname.pl";"http://wrongname.pl/file/cet.hjn";"offline";"EPAG Domainservices GmbH";"";"";""
"2017-03-24 08:44:56";"Distribution Site";"TorrentLocker";"mixtenor.pl";"http://mixtenor.pl/file/cet.hjn";"offline";"InternetX GmbH";"";"";""
"2017-03-23 15:59:32";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1pglcs.top";"http://p27dokhpz2n7nvgr.1pglcs.top";"offline";"Eranet International Limited";"";"";""
"2017-03-23 11:49:14";"Distribution Site";"Cerber";"sonicfopase.top";"http://sonicfopase.top/admin.php?f=2.gif";"offline";"Eranet International Limited";"";"";""
"2017-03-23 11:49:12";"Distribution Site";"Cerber";"sonicfopase.top";"http://sonicfopase.top/user.php?f=2.gif";"offline";"Eranet International Limited";"";"";""
"2017-03-23 11:49:08";"Distribution Site";"Cerber";"fooplodanx.top";"http://fooplodanx.top/1/";"offline";"Eranet International Limited";"";"";""
"2017-03-21 16:38:30";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1eeyaj.top";"http://hjhqmbxyinislkkt.1eeyaj.top";"offline";"Eranet International Limited";"";"";""
"2017-03-20 20:11:15";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1eagrj.top";"http://hjhqmbxyinislkkt.1eagrj.top";"offline";"Eranet International Limited";"";"";""
"2017-03-20 12:55:19";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1a2xx3.top";"http://hjhqmbxyinislkkt.1a2xx3.top";"offline";"Eranet International Limited";"";"";""
"2017-03-20 12:45:40";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1cewld.top";"http://p27dokhpz2n7nvgr.1cewld.top";"offline";"Eranet International Limited";"";"";""
"2017-03-20 11:06:14";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.12t3rn.top";"http://p27dokhpz2n7nvgr.12t3rn.top";"offline";"Eranet International Limited";"";"";""
"2017-03-17 22:11:07";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1js3tl.top";"http://p27dokhpz2n7nvgr.1js3tl.top";"offline";"Eranet International Limited";"";"";""
"2017-03-17 15:34:11";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1gu5um.top";"http://hjhqmbxyinislkkt.1gu5um.top";"offline";"Eranet International Limited";"";"";""
